COUNTY,EMPLOYMENT,INCOME,LABOR_PARTICIPATION,WEIGHT,SEX,AGE
44000,-1,9999999,-1,2226.24,0,8
44000,-1,9999999,-1,1607.84,0,2
44000,0,7210,1,1607.84,0,40
44000,1,75100,1,1607.84,0,53
44000,0,1200,0,1607.84,1,39
44000,-1,9999999,-1,1607.84,0,14
44000,-1,9999999,-1,1607.84,0,12
44000,0,6910,0,1607.84,1,43
44000,0,32000,1,2597.28,0,37
44000,0,24000,1,1978.88,1,41
44000,1,296000,1,1607.84,0,46
44000,0,24000,0,1607.84,1,59
44000,0,5500,0,3586.72,0,35
44000,1,25700,1,3215.68,1,42
44000,1,5300,1,2226.24,0,17
44000,0,250,0,2597.28,1,42
44000,1,294000,1,2844.64,0,43
44000,-1,9999999,-1,2349.92,0,8
44000,-1,9999999,-1,2226.24,1,5
44000,1,52070,1,3586.72,1,51
44000,1,21500,1,3215.68,0,42
44000,0,11700,0,1978.88,0,46
44000,0,13000,0,2226.24,1,72
44000,1,35000,1,2226.24,0,28
44000,1,70000,1,2226.24,0,39
44000,1,179000,1,1978.88,0,45
44000,0,300,0,989.44,1,45
44000,1,2500,1,1236.8,1,18
44000,-1,0,-1,1607.84,1,15
44000,-1,9999999,-1,1360.48,1,13
44000,-1,9999999,-1,1236.8,0,13
44000,-1,9999999,-1,1978.88,1,4
44000,1,80200,1,1978.88,0,45
44000,1,29200,1,1978.88,1,41
44000,1,14000,1,3215.68,1,58
44000,0,600,0,3957.76,0,24
44000,0,14300,0,742.08,1,69
44000,1,36600,1,1978.88,0,38
44000,1,30300,1,1855.2,1,36
44000,-1,9999999,-1,2349.92,0,4
44000,-1,9999999,-1,2844.64,1,2
44000,0,0,0,2597.28,1,37
44000,1,40000,1,3339.36,0,38
44000,-1,9999999,-1,2473.6,0,10
44000,-1,9999999,-1,2968.32,0,5
44000,1,13700,1,2226.24,0,74
44000,0,4100,0,1607.84,1,78
44000,1,86600,1,2226.24,0,76
44000,0,22000,0,3215.68,1,69
44000,1,50000,1,1978.88,0,42
44000,0,1160,0,2226.24,1,36
44000,-1,9999999,-1,2226.24,0,5
44000,-1,9999999,-1,2968.32,0,2
44000,0,0,0,2968.32,1,48
44000,0,14500,0,2226.24,0,83
44000,1,45000,1,1978.88,0,27
44000,1,26400,1,3215.68,1,26
44000,-1,9999999,-1,2597.28,0,0
44000,-1,9999999,-1,2597.28,1,9
44000,0,14600,0,1855.2,0,82
44000,0,7300,0,1607.84,1,69
44000,1,54000,1,2844.64,0,43
44000,0,12900,0,3339.36,1,35
44000,-1,9999999,-1,3215.68,0,14
44000,-1,9999999,-1,2597.28,1,11
44000,-1,9999999,-1,2844.64,1,6
44000,0,14000,0,4576.16,0,74
44000,0,0,0,3215.68,1,78
44000,0,7100,0,2226.24,1,87
44000,1,23000,1,1978.88,1,50
44000,1,14000,1,1360.48,1,54
44000,0,0,0,2597.28,1,32
44000,1,32000,1,2968.32,0,38
44000,1,0,1,2597.28,0,16
44000,-1,9999999,-1,2844.64,1,14
44000,-1,9999999,-1,2597.28,0,9
44000,1,38300,1,3215.68,1,39
44000,0,6300,0,3215.68,1,29
44000,1,17000,1,3339.36,0,27
44000,-1,9999999,-1,2844.64,1,10
44000,-1,9999999,-1,2597.28,1,6
44000,1,53300,1,2349.92,0,37
44000,0,0,0,2844.64,1,35
44000,1,232000,1,1978.88,0,57
44000,0,1500,0,2226.24,1,53
44000,1,10000,1,1978.88,0,26
44000,0,2800,0,3215.68,1,30
44000,-1,9999999,-1,4205.12,0,2
44000,1,14320,1,1978.88,1,46
44000,1,25200,1,2226.24,0,43
44000,1,10000,1,1607.84,1,46
44000,1,500,1,1607.84,1,17
44000,1,15000,1,3215.68,0,50
44000,1,16600,1,2597.28,1,50
44000,0,8700,0,2473.6,1,67
44000,1,302000,1,2226.24,0,56
44000,1,37200,1,2349.92,1,56
44000,1,10100,1,2597.28,0,20
44000,1,16450,1,3215.68,0,57
44000,1,26000,1,2844.64,1,54
44000,0,680,0,2597.28,1,16
44000,0,4900,0,3339.36,1,82
44000,-1,9999999,-1,2844.64,1,12
44000,1,31000,1,4823.52,0,42
44000,1,35000,1,4205.12,1,40
44000,-1,9999999,-1,2844.64,1,3
44000,1,15000,1,3957.76,0,34
44000,1,8000,1,3463.04,1,36
44000,-1,9999999,-1,2968.32,0,12
44000,-1,9999999,-1,4205.12,1,11
44000,1,38600,1,2226.24,0,45
44000,1,10380,1,1978.88,1,40
44000,1,6000,1,2968.32,1,22
44000,1,7000,1,2844.64,1,22
44000,1,5700,1,2968.32,1,23
44000,1,17600,1,2597.28,0,56
44000,0,28100,0,3339.36,1,78
44000,1,63000,1,2968.32,0,27
44000,1,44000,1,2226.24,0,54
44000,0,8400,0,1607.84,0,82
44000,1,55000,1,1978.88,0,39
44000,1,20000,1,1978.88,1,40
44000,1,0,1,2226.24,0,21
44000,1,0,1,2226.24,0,16
44000,-1,9999999,-1,2349.92,1,12
44000,1,50000,1,3339.36,1,33
44000,1,16500,1,2844.64,0,29
44000,1,51000,1,1855.2,1,65
44000,0,9600,0,1731.52,1,72
44000,1,18200,1,2597.28,1,41
44000,-1,9999999,-1,1978.88,1,7
44000,1,50000,1,4699.84,0,40
44000,0,30004,0,3215.68,1,60
44000,1,37304,1,1607.84,0,61
44000,1,36000,1,4576.16,0,35
44000,1,34000,1,3834.08,1,26
44000,0,17500,0,2349.92,1,73
44000,0,26000,0,742.08,1,40
44000,1,55000,1,1978.88,0,50
44000,1,55000,1,1607.84,1,50
44000,1,11500,1,2226.24,1,24
44000,-1,9999999,-1,1360.48,1,0
44000,1,36000,1,3339.36,0,28
44000,1,42500,1,3215.68,1,24
44000,0,24200,0,2597.28,1,77
44000,0,7800,0,3215.68,1,54
44000,1,31800,1,3710.4,0,50
44000,1,21600,1,2102.56,0,26
44000,0,54600,0,2968.32,0,60
44000,0,9800,0,2226.24,1,55
44000,1,27000,1,2349.92,1,27
44000,-1,9999999,-1,2226.24,0,9
44000,1,40000,1,2844.64,0,51
44000,0,19500,0,2968.32,1,84
44000,1,33800,1,2968.32,0,55
44000,1,3700,1,2844.64,1,55
44000,1,42000,1,3215.68,0,27
50000,1,54130,1,6555.04,0,36
50000,1,3550,1,5936.64,1,38
50000,1,2900,1,6555.04,1,17
50000,-1,9999999,-1,4576.16,1,13
50000,-1,9999999,-1,3957.76,1,13
50000,-1,9999999,-1,3957.76,1,4
50000,1,127200,1,1978.88,1,51
50000,-1,11100,-1,1360.48,0,15
50000,0,0,0,3586.72,0,21
50000,1,55000,1,618.4,0,27
50000,1,38200,1,1978.88,1,28
50000,1,23900,1,1236.8,1,34
50000,1,32200,1,5936.64,0,34
50000,1,14200,1,4576.16,1,36
50000,-1,9999999,-1,3957.76,0,8
50000,1,22000,1,2597.28,0,33
50000,-1,9999999,-1,3957.76,1,6
50000,1,16300,1,1855.2,1,66
50000,1,1500,1,2968.32,0,19
50000,0,29300,0,4576.16,0,71
50000,0,12100,0,3339.36,1,69
50000,1,311000,1,1978.88,0,51
50000,0,0,1,1360.48,1,50
50000,1,3000,1,618.4,0,21
50000,0,0,0,1360.48,0,16
50000,0,5510,0,5936.64,1,54
50000,0,0,0,7791.84,0,32
50000,1,10000,1,7297.12,1,32
50000,1,34200,1,6555.04,0,74
50000,1,18400,1,6555.04,1,83
50000,1,20710,1,3834.08,0,40
50000,0,26500,0,1360.48,0,89
50000,0,2000,0,1236.8,1,83
50000,0,4300,0,1978.88,0,64
50000,1,27120,1,1360.48,0,47
50000,0,21000,0,1236.8,1,44
50000,0,3700,0,2597.28,1,79
50000,1,30000,1,6555.04,0,38
50000,1,27800,1,5936.64,1,36
50000,-1,9999999,-1,5812.96,1,6
50000,-1,9999999,-1,6555.04,0,4
50000,-1,9999999,-1,7915.52,1,1
50000,1,21900,1,1236.8,0,56
50000,1,49500,1,1978.88,1,52
50000,0,8600,0,1607.84,0,87
50000,1,32000,1,3215.68,0,24
50000,1,29000,1,2597.28,1,24
50000,-1,9999999,-1,2720.96,1,6
50000,-1,9999999,-1,2597.28,0,2
50000,0,8800,0,2226.24,0,64
50000,1,29000,1,1360.48,1,35
50000,0,0,0,1978.88,0,44
50000,-1,0,-1,1236.8,1,15
50000,-1,9999999,-1,1978.88,1,13
50000,1,20000,1,4576.16,0,49
50000,1,6500,1,3957.76,1,46
50000,1,0,1,3957.76,1,16
50000,1,20000,1,1236.8,0,20
50000,0,13400,0,742.08,0,64
50000,0,5660,0,1978.88,1,72
50000,1,8400,1,1360.48,1,40
50000,1,25000,1,1236.8,0,43
50000,-1,0,-1,1360.48,0,15
50000,1,32000,1,1236.8,1,38
50000,-1,2800,-1,1360.48,0,15
50000,1,15000,1,1360.48,0,48
50000,1,30830,1,1236.8,1,46
50000,0,750,0,1360.48,1,17
50000,-1,9999999,-1,1978.88,0,7
50000,1,83100,1,1978.88,0,59
50000,1,44200,1,2597.28,1,59
50000,1,40000,1,1236.8,0,51
50000,0,17700,1,989.44,1,45
50000,1,18000,1,5936.64,1,29
50000,-1,9999999,-1,6555.04,0,9
50000,1,33000,1,1978.88,0,29
50000,0,0,0,1236.8,1,26
50000,-1,9999999,-1,1978.88,0,4
50000,-1,9999999,-1,742.08,1,2
